name,registration_number
TY JEWELLERY PLATING & MANUFACTURING,PS20190000457
TYAN ANN GOLDSMITH & JEWELLERY,PS20190000183
TYCOON TRADING,PS20190000548
UBAIDULLA GEMS,PS20190000622
UJADE COLLECTIONS PTE. LTD.,PS20190000832
UNIGOLD INTERNATIONAL PTE. LTD.,PS20190001032
UNIQUE FINE PEARL & GEM COLLECTIONS PTE. LTD.,PS20190000913
UNIQUE GOLD PTE. LTD.,PS20190001774
UNIQUE JEWELS,PS20190000279
UNIQUE LITTLE PRINTS PTE. LTD.,PS20190001490
UNIQUE TIME DE WATCH,PS20190001783
UNITED DIAMOND PTE LTD,PS20190000338
UNITED GEMS & GOLD PTE. LTD.,PS20190000647
UNITED LUCKY STONE PTE. LTD.,PS20190000809
UNITED NUMISMATIC CENTRE,PS20190001465
UNITED PRECIOUS METALS PTE. LTD.,PS20190000646
UNITED THREE STARS PTE. LTD.,PS20190000891
UNIVERSAL JEWELLERS PRIVATE LIMITED,PS20190000013
UNLIMITED ELECTRONIC & COMPUTERS (S) PTE LTD,PS20190000931
UPP ENTERPRISES PTE LTD,PS20190000143
URELIANCE ROYAL PTE. LTD.,PS20190001541
USARIN,PS20190001073
USMAN GEMS & JEWELLERY PTE. LTD.,PS20190000954
V. DAVIDOFF TIMEPIECES,PS20190000823
VAAGAMI,PS20190000025
VALONA HOLDINGS PTE LTD,PS20190001336
VALUEMAX PRECIOUS METALS PTE. LTD.,PS20190000043
VALUEMAX RETAIL PTE. LTD.,PS20190000453
VANMY & GEMS PTE. LTD.,PS20190001348
VANMY JEWELLERY,PS20190001349
VAULT FINE JEWELLERY PTE. LTD.,PS20190001447
VECTOR GEMS TECH PTE. LTD.,PS20190001138
VICTOR JEWELLERY,PS20190000458
VICTORIA JEWELLERS ENTERPRISE,PS20190001112
VIHARI JEWELS PTE. LTD.,PS20190000394
VINCEES PRIVATE LIMITED,PS20190000716
VINCENT JEWELLERY TRADING,PS20190001094
VINCENT WATCH PTE LTD,PS20190001086
VISIOTIME PTE. LTD.,PS20190001298
VIVIE SILVERGEM PALACE PTE. LTD.,PS20190001131
VIVIEN DESIGN,PS20190001252
VIVO DIAMONDS,PS20190000412
VIVRE GEMSTONES,PS20190001228
VRINDA JEWELLERY PTE. LTD.,PS20190000871
VUUREN SOLO ARTIST,PS20190001000
W JEWELLERY PTE. LTD.,PS20190000218
WAH CHAN CONSOLIDATED PTE. LTD.,PS20190000247
WAH GAY JEWELLERY CO PTE LTD,PS20190000220
WAI CHEUNG JEWELLERY (S) PTE LTD,PS20190000996
WAI KEE PEARL AND JADE,PS20190001756
WAI YIN JEWELLERY AND GOLDSMITH,PS20190001123
WAN CHEN JEWELLERS LLP,PS20190000628
WAN CHENG GOLDSMITH & JEWELLERY,PS20190001095
WAN POA GOLDSMITH PTE LTD,PS20190000507
WANFOO AUCTION PTE. LTD.,PS20190001281
WANGOLD & JEWELLERS PTE LTD,PS20190000120
WANMEI GOLDSMITH & JEWELLERY,PS20190000678
WANSHAN JEWELLERY,PS20190000102
WATCH BUSINESS,PS20190000254
WATCH CLUB PTE. LTD.,PS20190000738
WATCH GALLERY ENTERPRISE,PS20190001096
WATCH GALLERY HK PTE. LTD.,PS20190001088
WATCH GURU SALES AND SERVICE CENTRE,PS20190000242
WATCH HUNTS PTE LTD,PS20190000169
WATCH LIBERTY,PS20190000291
WATCH LINK PTE. LTD.,PS20190001387
WATCH PALACE PRIVATE LIMITED,PS20190000105
WATCH TREND PTE. LTD.,PS20190000357
WATCHBOX SINGAPORE PTE. LTD.,PS20190001680
WATCHES,PS20190001687
WATCHES OF GENEVA PTE. LTD.,PS20190000563
WATCHES OF SWITZERLAND PTE. LTD.,PS20190001180
WAY ONNET GROUP PTE LTD,PS20190001012
WEALTH JEWELLERY INDUSTRIES GROUP PTE. LTD.,PS20190001701
WEALTHZONE SINGAPORE PTE. LTD.,PS20190001242
WEE LEE GOLDSMITH & JEWELLERY PTE. LTD.,PS20190001060
WEIKEN TRADING,PS20190000786
WELL LUCK PTE. LTD.,PS20190001501
WENG CHEONG COMPANY PRIVATE (SINGAPORE) LIMITED,PS20190001470
WENSUN ELECTROPLATING,PS20190001453
WHITE DWARF PTE. LTD.,PS20190001322
WILF DIAMONDS SG,PS20190001661
WILLIAM NG COLLECTIONS,PS20190000363
WILLIAMSON WANG FINE JEWELLERY,PS20190001610
WILSA WORLDWIDE PTE LTD,PS20190000693
WIN FULL JEWELLERY,PS20190001449
WIN HENG JEWELLERY,PS20190000418
WINS UNITED WATCH PTE. LTD.,PS20190001031
WJL JEWELLERY,PS20190000421
WM METALS & ALLOYS PTE. LTD.,PS20190001292
WONG'S JEWELLERY PTE LTD,PS20190000044
WORLD GEMS,PS20190000407
WORLD GOLD PTE LTD,PS20190001015
WORLD METAL RECOVERY PTE. LTD.,PS20190001273
WORLD OF DIAMONDS,PS20190000208
WORLD OF NATURE,PS20190000889
WORLD OF WATCHES 2 (ORCHARD) PTE. LTD.,PS20190001503
WORLD SAVAGE,PS20190000033
WORLDWIDE CHEMICALS TRADING PTE. LTD.,PS20190001404
X-CRAFT,PS20190001247
XIAN MEI JEWELLERY,PS20190000459
XIANG YUN FORTUNE ANALYSIS CENTRE,PS20190001565
XIN BULLION PTE. LTD.,PS20190001193
XIN CHUEN JEWELLERY,PS20190000404
XIN LI JADE TRADING,PS20190001406
XIN XING GONG YI,PS20190001450
XIN YING GOLDSMITH & JEWELLERY,PS20190000037
XIN8YAN,PS20190001738
XJ GOLD PTE. LTD.,PS20190000270
XYUAN DESIGNS,PS20190000398
Y Y JEWELLERY,PS20190000153
Y.S. JEWELRY,PS20190001461
YA LI GONG YI HANG WHOLESALE RETAIL,PS20190001430
YAJ INTERNATIONAL PTE. LTD.,PS20190000729
YALA PRECIOUS PTE. LTD.,PS20190001574
YAMAKIN (JAPAN) CO. LTD. (SINGAPORE BRANCH),PS20190001378
YANG CREATIONS,PS20190001787
YANG YI JEWELLERY MANUFACTURING AND TRADING,PS20190000223
YANHO LUXURY,PS20190001525
YAN-JEWEL MANUFACTURING,PS20190000988
YAP HOCK CHUAH WATCH REPAIR SERVICE,PS20190000894
YAT HAN JADE & JEWELLERY,PS20190000533
YATAMAX TRADING CO,PS20190000265
YESVE TRADING PTE. LTD.,PS20190001081
YEW SIN JEWELLERY TRADING,PS20190000637
YI BAO TRADING,PS20190001623
YI BO GOLDSMITH AMK JEWELLERY,PS20190000199
YI CHYI TRADING,PS20190001196
YI HUA XUAN TRADING,PS20190001555
YI JIN WATCHES AND JEWELLERY TRADING,PS20190000400
YI PIN QIAN,PS20190000031
YICHENG GOLDSMITH JEWELLERS,PS20190000379
YINEN,PS20190000663
YINEN CRYSTALS,PS20190000504
YISI TRADING CO,PS20190000859
YIU JEWELLERY,PS20190001166
YL JEWELLERY,PS20190000980
YLG BULLION SINGAPORE PTE. LTD.,PS20190001137
YOGESHWAR DIAMONDS,PS20190000570
YOK DEE ENTERPRISE,PS20190001719
YONG STEEL (S) PTE. LTD.,PS20190000690
YONG YEW JEWELLERY,PS20190001210
YOU CHANG JEWELLERS,PS20190000376
YOUNG JEWELLERY PTE. LTD.,PS20190001414
YOUTH JEWELLERY PTE LTD,PS20190000082
YOYO JEWELLERY DESIGN,PS20190000285
YU FAN FENG SHUI,PS20190000935
YU XING GOLDSMITH,PS20190000297
YU YUAN HANDICRAFTS,PS20190001416
YUAN RU YU,PS20190000959
YUE HWA CHINESE PRODUCTS PTE LTD,PS20190001375
YUE LAI XUAN TRADING,PS20190001410
YUEN TUNG JEWELLERY PTE. LTD.,PS20190000392
YUKI MITSUYASU PTE. LTD.,PS20190000205
YULI INC. - FINE JEWELLERY,PS20190000090
YUNFA HOLDINGS PTE. LTD.,PS20190001121
YUZHIYUAN,PS20190001780
ZAID AHMAD CORPORATION PTE. LTD.,PS20190000561
ZAKTI CONSULTANCY,PS20190001748
ZEN WATCHES PTE. LTD.,PS20190000819
ZENDORA JEWELLERS,PS20190000681
ZENHOE JEWELLERY (S) PTE. LTD.,PS20190000784
ZHAO FO HANG,PS20190001189
ZHEN BAO JADE & DEPARTMENTAL STORE,PS20190001706
ZHENG CAI YU XI GE,PS20190001537
ZI YU XUAN,PS20190001618
ZIGEMS JEWELLERY,PS20190000372
ZIY INTERNATIONAL PTE. LTD.,PS20190000642
ZODIAC ZEN PTE. LTD.,PS20190001761
